fid,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin
"123","4","473132","0.32745042","0.65986012","0.87645766","0.12354234","0.04562437","0.02552895","0.0011885","0.02131468","0.02354346","357594","-0.17254958"
"124","5","473454","0.36823045","0.61577366","0.84565132","0.15434868","0.06763958","0.02777553","0.00155493","0.02600193","0.02568609","370434","-0.13176955"
"125","6","474009","0.27136699","0.7172305","0.88752179","0.11247821","0.04364424","0.01869108","0.00082117","0.01152626","0.02818345","367769","-0.22863301"
"126","7","474432","0.25948736","0.72852155","0.87519391","0.12480609","0.03719728","0.0368156","0.0028326","0.01064337","0.03109043","366801","-0.24051264"
"127","8","474208","0.50396743","0.48032119","0.69394781","0.30605219","0.17888478","0.06969902","0.00481383","0.02119364","0.03319623","359589","0.00396743"
"128","9","472948","0.63930841","0.34237986","0.61183359","0.38816641","0.21502001","0.10479778","0.00449284","0.04088514","0.02914254","369254","0.13930841"
"129","10","473468","0.29202172","0.69587194","0.88976374","0.11023626","0.03270984","0.03150274","0.00228527","0.01315472","0.02612014","364508","-0.20797828"
"130","11","473083","0.19794249","0.79136643","0.86627618","0.13372382","0.01410238","0.04705175","0.00505773","0.01188805","0.04983644","357670","-0.30205751"
"131","12","473441","0.31937961","0.66783469","0.860398","0.139602","0.03153212","0.04044734","0.00274893","0.02139277","0.03841249","372509","-0.18062039"
"132","13","472532","0.1780088","0.81355803","0.86399593","0.13600407","0.05161368","0.02884744","0.00210819","0.01445653","0.03395795","365717","-0.3219912"
"133","1","466292","0.36425617","0.61667569","0.58266623","0.41733377","0.21230014","0.14568034","0.00109714","0.04392987","0.02079612","362760","-0.13574383"
"134","2","465714","0.80478329","0.16879911","0.32568884","0.67431116","0.54164591","0.09093904","0.00130947","0.041846","0.01597232","367323","0.30478329"
"135","3","465527","0.31617072","0.66788731","0.65087212","0.34912788","0.25572194","0.05263904","0.00120537","0.02515103","0.01631073","352590","-0.18382928"
"136","4","465738","0.38319812","0.60411077","0.55422458","0.44577542","0.3521108","0.04527373","0.00221683","0.02003641","0.0290736","353207","-0.11680188"
"137","5","465042","0.30235662","0.68510519","0.63021748","0.36978252","0.30782646","0.03182876","0.00086208","0.01069655","0.018373","352637","-0.19764338"
"138","6","466456","0.38161083","0.59823416","0.60451027","0.39548973","0.26570994","0.07523535","0.0009121","0.03889098","0.01615274","358515","-0.11838917"
"139","7","466396","0.34305485","0.64489093","0.602954","0.397046","0.29713487","0.05408256","0.00091961","0.01393193","0.03462454","355586","-0.15694515"
"140","8","465677","0.38752206","0.60001237","0.57064734","0.42935266","0.38103","0.02754537","0.00087771","0.00786237","0.01370144","350912","-0.11247794"
"141","9","465860","0.28914437","0.69871676","0.62022565","0.37977435","0.30077597","0.04283625","0.00108558","0.01289962","0.02307143","361096","-0.21085563"
"142","10","465055","0.29212644","0.69304748","0.69759105","0.30240895","0.2064413","0.05702935","0.00116599","0.01575907","0.02178286","355922","-0.20787356"
